type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2025-05-02 16:25:46,15.37111000,75.11890833,2.90,548.700,,0.000,,19,58,20250502-215546,GPS Logger: 20250502-215546
T,2025-05-02 16:25:47,15.37111333,75.11891000,3.00,548.700,,0.000,,19,58,,
T,2025-05-02 16:25:48,15.37111333,75.11892333,2.90,548.700,,0.000,,19,58,,
T,2025-05-02 16:25:49,15.37112000,75.11894000,2.90,548.800,,0.597,64,20,58,,
T,2025-05-02 16:25:50,15.37112333,75.11895833,3.00,548.800,,0.000,,18,58,,
T,2025-05-02 16:25:51,15.37112667,75.11897333,3.10,548.900,,0.879,77,21,58,,
T,2025-05-02 16:25:52,15.37112667,75.11899167,3.00,548.900,,0.000,,21,58,,
T,2025-05-02 16:25:53,15.37113500,75.11900000,2.90,549.300,,0.000,,22,58,,
T,2025-05-02 16:25:54,15.37114000,75.11901667,2.70,549.500,,0.000,,25,58,,
T,2025-05-02 16:25:55,15.37113667,75.11903500,2.60,549.600,,1.355,72,27,58,,
T,2025-05-02 16:25:56,15.37113667,75.11905833,2.50,549.800,,1.506,82,28,58,,
T,2025-05-02 16:25:57,15.37113167,75.11907667,2.40,550.000,,1.646,92,28,58,,
T,2025-05-02 16:25:58,15.37112833,75.11908833,2.40,550.400,,1.603,97,27,58,,
T,2025-05-02 16:25:59,15.37112833,75.11910167,2.40,550.700,,1.572,90,27,58,,
T,2025-05-02 16:26:00,15.37113167,75.11911667,2.40,550.800,,1.562,91,28,58,,
T,2025-05-02 16:26:01,15.37113333,75.11912333,2.40,551.400,,1.562,80,27,58,,
T,2025-05-02 16:26:02,15.37114667,75.11913667,2.40,551.700,,1.559,81,28,58,,
T,2025-05-02 16:26:03,15.37116333,75.11914500,2.40,551.800,,1.567,56,29,58,,
T,2025-05-02 16:26:04,15.37117667,75.11915000,2.40,552.300,,1.560,36,29,58,,
T,2025-05-02 16:26:05,15.37120500,75.11914000,2.30,552.000,,1.548,16,32,60,,
T,2025-05-02 16:26:06,15.37122833,75.11912833,2.20,552.500,,1.519,353,31,60,,
T,2025-05-02 16:26:07,15.37124167,75.11912167,2.20,552.200,,1.510,355,31,60,,
T,2025-05-02 16:26:08,15.37126000,75.11911500,2.20,552.200,,1.530,346,31,60,,
T,2025-05-02 16:26:09,15.37127333,75.11911667,2.20,552.400,,1.506,349,30,60,,
T,2025-05-02 16:26:10,15.37128333,75.11911500,2.30,553.000,,1.479,346,32,60,,
T,2025-05-02 16:26:11,15.37129500,75.11911333,2.30,553.400,,1.464,348,32,60,,
T,2025-05-02 16:26:12,15.37130500,75.11911167,2.40,553.800,,1.443,358,31,60,,
T,2025-05-02 16:26:13,15.37131167,75.11911333,2.40,554.000,,1.394,2,30,60,,
T,2025-05-02 16:26:14,15.37131667,75.11911333,2.50,554.400,,1.371,15,30,60,,
T,2025-05-02 16:26:15,15.37133000,75.11911500,2.50,554.100,,1.337,8,29,60,,
T,2025-05-02 16:26:16,15.37133833,75.11911000,2.60,554.100,,1.284,350,29,60,,
T,2025-05-02 16:26:17,15.37135333,75.11909833,2.50,554.000,,1.232,7,30,60,,
T,2025-05-02 16:26:18,15.37136833,75.11909667,2.40,553.900,,1.181,5,33,60,,
T,2025-05-02 16:26:19,15.37138667,75.11908833,2.30,553.600,,1.156,349,32,60,,
T,2025-05-02 16:26:20,15.37140500,75.11908000,2.30,553.100,,1.098,334,32,60,,
T,2025-05-02 16:26:21,15.37141667,75.11908000,2.30,553.000,,1.042,343,32,60,,
T,2025-05-02 16:26:22,15.37143000,75.11907833,2.20,553.000,,0.998,346,31,60,,
T,2025-05-02 16:26:23,15.37144167,75.11907333,2.20,553.200,,0.994,348,30,60,,
T,2025-05-02 16:26:24,15.37145000,75.11907500,2.20,553.500,,0.965,347,31,60,,
T,2025-05-02 16:26:25,15.37146167,75.11907167,2.20,553.400,,0.925,7,31,60,,
T,2025-05-02 16:26:26,15.37147000,75.11907167,2.20,553.400,,0.907,348,31,60,,
T,2025-05-02 16:26:27,15.37148000,75.11907000,2.20,553.300,,0.921,333,32,60,,
T,2025-05-02 16:26:28,15.37149167,75.11906833,2.30,553.700,,0.953,340,29,60,,
T,2025-05-02 16:26:29,15.37150333,75.11906167,2.30,554.000,,0.982,352,31,60,,
T,2025-05-02 16:26:30,15.37151500,75.11906333,2.20,554.900,,0.997,341,30,60,,
T,2025-05-02 16:26:31,15.37152167,75.11906167,2.20,555.400,,1.000,317,34,60,,
T,2025-05-02 16:26:32,15.37152500,75.11906500,2.10,556.100,,1.012,261,35,60,,
T,2025-05-02 16:26:33,15.37152333,75.11905333,2.10,556.000,,1.053,260,35,60,,
T,2025-05-02 16:26:34,15.37152333,75.11904667,2.20,556.200,,1.113,250,34,60,,
T,2025-05-02 16:26:35,15.37152333,75.11904167,2.30,556.300,,1.178,267,35,60,,
T,2025-05-02 16:26:36,15.37152500,75.11903500,2.30,556.500,,1.190,238,33,60,,
T,2025-05-02 16:26:37,15.37152167,75.11902667,2.30,556.900,,1.157,256,31,60,,
T,2025-05-02 16:26:38,15.37152333,75.11901500,2.40,557.100,,1.127,264,29,60,,
T,2025-05-02 16:26:39,15.37152333,75.11899667,2.40,557.500,,1.127,258,28,60,,
T,2025-05-02 16:26:40,15.37152500,75.11898167,2.50,557.900,,1.154,254,26,60,,
T,2025-05-02 16:26:41,15.37152000,75.11896667,2.50,558.300,,1.223,256,26,60,,
T,2025-05-02 16:26:42,15.37151667,75.11895500,2.60,558.800,,1.250,254,23,60,,
T,2025-05-02 16:26:43,15.37151167,75.11893833,2.60,559.500,,1.283,258,22,60,,
T,2025-05-02 16:26:44,15.37151167,75.11891833,2.60,559.800,,1.358,255,21,60,,
T,2025-05-02 16:26:45,15.37151667,75.11890000,2.60,560.500,,1.394,261,22,60,,
T,2025-05-02 16:26:46,15.37151833,75.11888667,2.60,561.200,,1.476,267,20,60,,
T,2025-05-02 16:26:47,15.37151667,75.11887167,2.70,561.600,,1.538,269,20,60,,
T,2025-05-02 16:26:48,15.37151333,75.11886000,2.80,562.300,,1.590,252,20,60,,
T,2025-05-02 16:26:49,15.37151167,75.11884167,2.90,562.800,,1.676,256,21,60,,
T,2025-05-02 16:26:50,15.37150833,75.11882167,2.90,563.300,,1.753,251,21,60,,
T,2025-05-02 16:26:51,15.37151000,75.11880167,3.00,564.000,,1.799,262,20,60,,
T,2025-05-02 16:26:52,15.37150167,75.11878667,3.00,564.400,,1.857,259,20,60,,
T,2025-05-02 16:26:53,15.37147167,75.11877833,3.00,564.600,,1.874,236,20,60,,
T,2025-05-02 16:26:54,15.37146333,75.11877500,3.10,556.700,,1.840,246,19,60,,
T,2025-05-02 16:26:55,15.37145833,75.11876167,3.00,554.000,,1.845,249,18,60,,
T,2025-05-02 16:26:56,15.37146500,75.11874667,3.10,552.500,,1.849,256,18,60,,
T,2025-05-02 16:26:57,15.37147000,75.11873167,3.10,551.600,,1.869,264,17,60,,
T,2025-05-02 16:26:58,15.37147167,75.11871833,3.20,550.900,,1.849,267,16,60,,
T,2025-05-02 16:26:59,15.37146000,75.11870833,3.20,550.400,,1.783,265,18,60,,
T,2025-05-02 16:27:00,15.37145167,75.11870167,3.10,550.100,,1.726,264,18,60,,
T,2025-05-02 16:27:01,15.37145667,75.11868667,3.10,549.700,,1.686,263,18,60,,
T,2025-05-02 16:27:02,15.37145833,75.11867500,3.10,549.500,,1.654,257,17,60,,
T,2025-05-02 16:27:03,15.37146667,75.11865333,3.10,549.400,,1.663,265,17,60,,
T,2025-05-02 16:27:04,15.37147333,75.11863833,3.20,549.000,,1.627,274,17,60,,
T,2025-05-02 16:27:05,15.37148167,75.11862000,3.20,548.700,,1.647,271,17,60,,
T,2025-05-02 16:27:06,15.37148667,75.11861167,3.00,547.800,,1.668,265,18,60,,
T,2025-05-02 16:27:07,15.37147833,75.11860333,2.90,547.300,,1.638,258,16,60,,
T,2025-05-02 16:27:08,15.37147667,75.11859333,2.90,547.000,,1.615,274,16,60,,
T,2025-05-02 16:27:09,15.37146333,75.11858833,2.90,546.500,,0.000,,15,60,,
T,2025-05-02 16:27:10,15.37145500,75.11857833,3.00,546.100,,1.514,239,15,60,,
T,2025-05-02 16:27:11,15.37145333,75.11856000,2.90,545.700,,1.513,252,15,60,,
T,2025-05-02 16:27:12,15.37145333,75.11854167,2.90,545.500,,1.513,255,16,60,,
T,2025-05-02 16:27:13,15.37144833,75.11852667,3.00,545.400,,1.464,244,17,60,,
T,2025-05-02 16:27:14,15.37147333,75.11850667,2.90,544.800,,1.498,278,18,60,,
T,2025-05-02 16:27:15,15.37148500,75.11848333,2.80,543.700,,1.510,283,17,60,,
T,2025-05-02 16:27:16,15.37149667,75.11846000,2.80,542.800,,1.524,290,17,60,,
T,2025-05-02 16:27:17,15.37151167,75.11843500,2.80,541.200,,1.598,293,18,60,,
T,2025-05-02 16:27:18,15.37152000,75.11841167,2.70,539.700,,1.693,280,18,60,,
T,2025-05-02 16:27:19,15.37152167,75.11838833,2.80,539.400,,1.794,278,18,60,,
T,2025-05-02 16:27:20,15.37151667,75.11837167,2.90,539.000,,1.858,270,17,60,,
T,2025-05-02 16:27:21,15.37149667,75.11836167,2.70,539.000,,1.816,259,20,60,,
T,2025-05-02 16:27:22,15.37147833,75.11836167,2.60,539.200,,1.774,266,20,60,,
T,2025-05-02 16:27:23,15.37146167,75.11835833,2.50,539.900,,1.774,271,21,60,,
T,2025-05-02 16:27:24,15.37145333,75.11834333,2.40,540.000,,1.767,266,25,60,,
T,2025-05-02 16:27:25,15.37143500,75.11834167,2.20,540.400,,1.695,256,29,60,,
T,2025-05-02 16:27:26,15.37143500,75.11833000,2.10,541.000,,1.583,290,31,60,,
T,2025-05-02 16:27:27,15.37143667,75.11832000,2.10,541.300,,1.529,295,29,60,,
T,2025-05-02 16:27:28,15.37144500,75.11831000,2.10,541.700,,1.444,322,30,60,,
T,2025-05-02 16:27:29,15.37145167,75.11830333,2.10,541.600,,1.370,319,27,60,,
T,2025-05-02 16:27:30,15.37146667,75.11829167,2.10,542.100,,1.327,331,28,60,,
T,2025-05-02 16:27:31,15.37147500,75.11828500,2.10,542.600,,1.324,346,27,60,,
T,2025-05-02 16:27:32,15.37148833,75.11827333,2.10,542.900,,1.375,335,26,60,,
